18:00:41.677 [hz._hzInstance_1_dev.partition-operation.thread-1]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:9ef17309
18:00:47.256 [XNIO-1 task-5]  P0rjshlZStC7DoSQDQAvxw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic NmZkNTZkOTgtZjM0OC00ODM4LThjMzUtNDlhZmY1YWYzMzhlOmpEZklSdnQ3UzJhVHRyZE8tQnhGQlE=", "Basic NmZkNTZkOTgtZjM0OC00ODM4LThjMzUtNDlhZmY1YWYzMzhlOmpEZklSdnQ3UzJhVHRyZE8tQnhGQlE=", authorization)
18:00:47.265 [XNIO-1 task-5]  P0rjshlZStC7DoSQDQAvxw DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:47.273 [XNIO-1 task-3]  nVtup2RvSfKH3S_wZ6xW7g DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:47.275 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:6229c0ce-3353-4ab4-8361-1fcffb863dd7
18:00:47.276 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:6229c0ce-3353-4ab4-8361-1fcffb863dd7
18:00:47.277 [XNIO-1 task-5]  0Oq8ZHo-QAC58ZD7jeQQPA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.278 [XNIO-1 task-5]  0Oq8ZHo-QAC58ZD7jeQQPA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.279 [XNIO-1 task-5]  0Oq8ZHo-QAC58ZD7jeQQPA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.280 [XNIO-1 task-5]  0Oq8ZHo-QAC58ZD7jeQQPA DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:47.288 [XNIO-1 task-5]  0Oq8ZHo-QAC58ZD7jeQQPA INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:47.298 [XNIO-1 task-5]  94O36lR5RFmkkQKM8yspYw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.298 [XNIO-1 task-5]  94O36lR5RFmkkQKM8yspYw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.299 [XNIO-1 task-5]  94O36lR5RFmkkQKM8yspYw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.299 [XNIO-1 task-5]  94O36lR5RFmkkQKM8yspYw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:47.306 [XNIO-1 task-5]  94O36lR5RFmkkQKM8yspYw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:47.310 [XNIO-1 task-3]  xP6_fkVTRf2bcf5j2S9UAg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.310 [XNIO-1 task-3]  xP6_fkVTRf2bcf5j2S9UAg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.310 [XNIO-1 task-3]  xP6_fkVTRf2bcf5j2S9UAg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.311 [XNIO-1 task-3]  xP6_fkVTRf2bcf5j2S9UAg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = YhsGSR6jSdGHkBqr101L7Q redirectUri = http://localhost:8080/authorization
18:00:47.316 [XNIO-1 task-5]  CQhzZb7WRlquVPgdtHB9ZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.316 [XNIO-1 task-5]  CQhzZb7WRlquVPgdtHB9ZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:47.317 [XNIO-1 task-5]  CQhzZb7WRlquVPgdtHB9ZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
SEVERE: [172.24.0.4]:5701 [dev] [3.12] java.sql.SQLIntegrityConstraintViolationException: Cannot delete or update a parent row: a foreign key constraint fails (`oauth2`.`refresh_token`, CONSTRAINT `refresh_token_ibfk_1` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`))
18:00:47.318 [XNIO-1 task-5]  CQhzZb7WRlquVPgdtHB9ZQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic N2EzMzgxYzktMTE2ZC00OTgyLWI1NWYtOGIxNGJmZWE0NTQ4OjB6SkZ3aDdEUU1hNURNcE42SG1mbmc=", "Basic N2EzMzgxYzktMTE2ZC00OTgyLWI1NWYtOGIxNGJmZWE0NTQ4OjB6SkZ3aDdEUU1hNURNcE42SG1mbmc=", authorization)
18:00:47.320 [XNIO-1 task-3]  xP6_fkVTRf2bcf5j2S9UAg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
18:00:47.321 [XNIO-1 task-3]  xP6_fkVTRf2bcf5j2S9UAg INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:19)
	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:56)
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.removeRecord(DefaultRecordStore.java:1034)
	at com.hazelcast.map.impl.operation.DeleteOperation.run(DeleteOperation.java:44)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.call(OperationRunnerImpl.java:210)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:416)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:123)
Caused by: java.sql.SQLIntegrityConstraintViolationException: Cannot delete or update a parent row: a foreign key constraint fails (`oauth2`.`refresh_token`, CONSTRAINT `refresh_token_ibfk_1` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`))
18:00:47.325 [XNIO-1 task-5]  CQhzZb7WRlquVPgdtHB9ZQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:122)
18:00:47.329 [hz._hzInstance_1_dev.partition-operation.thread-11]   DEBUG c.n.oauth.cache.ClientMapStore delete - Delete:06ce6bc9-9d53-486a-a50e-960a4d168f0d
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1094)
18:00:47.333 [XNIO-1 task-5]  LSdakQuyQry5LWAMpCeDsw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.338 [hz._hzInstance_1_dev.partition-operation.thread-11]   ERROR c.n.oauth.cache.ClientMapStore delete - Exception:
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:117)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdate(ClientPreparedStatement.java:1027)
	at com.zaxxer.hikari.pool.ProxyPreparedStatement.executeUpdate(ProxyPreparedStatement.java:61)
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:33)

	at com.mysql.cj.jdbc.ClientPreparedStatement.executeInternal(ClientPreparedStatement.java:955)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1042)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdate(ClientPreparedStatement.java:1027)
	at com.zaxxer.hikari.pool.HikariProxyPreparedStatement.executeUpdate(HikariProxyPreparedStatement.java)
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:19)
	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:56)
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.removeRecord(DefaultRecordStore.java:1034)
	at com.hazelcast.map.impl.operation.DeleteOperation.run(DeleteOperation.java:44)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.call(OperationRunnerImpl.java:210)
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:416)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:123)
18:00:47.338 [XNIO-1 task-5]  LSdakQuyQry5LWAMpCeDsw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.335 [XNIO-1 task-4]  tMppxpbXS1KDQAsXobGV9g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.339 [XNIO-1 task-5]  LSdakQuyQry5LWAMpCeDsw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.339 [XNIO-1 task-4]  tMppxpbXS1KDQAsXobGV9g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.339 [XNIO-1 task-4]  tMppxpbXS1KDQAsXobGV9g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.340 [XNIO-1 task-4]  tMppxpbXS1KDQAsXobGV9g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.340 [XNIO-1 task-5]  LSdakQuyQry5LWAMpCeDsw DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:47.340 [XNIO-1 task-4]  tMppxpbXS1KDQAsXobGV9g DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - code = yB_EaFIRRieHSXA-pzivOg redirectUri = http://localhost:8080/authorization
18:00:47.347 [XNIO-1 task-5]  LSdakQuyQry5LWAMpCeDsw INFO  com.networknt.config.Config getConfigStream - Config loaded from externalized folder for primary.jks in /config
18:00:47.347 [XNIO-1 task-3]  y1JZTmafRpaZQD1Lc_lsIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.348 [XNIO-1 task-3]  y1JZTmafRpaZQD1Lc_lsIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.348 [XNIO-1 task-3]  y1JZTmafRpaZQD1Lc_lsIQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.348 [XNIO-1 task-3]  y1JZTmafRpaZQD1Lc_lsIQ DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleRefreshToken - refreshToken = 33f1f1e8-55e1-4721-baa9-e1b652a84bb5 scope = null
18:00:47.350 [XNIO-1 task-4]  tMppxpbXS1KDQAsXobGV9g DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:47.355 [XNIO-1 task-5]  b1reS2TcTQmzmTiA_WZi2g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.356 [XNIO-1 task-5]  b1reS2TcTQmzmTiA_WZi2g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:47.356 [XNIO-1 task-5]  b1reS2TcTQmzmTiA_WZi2g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.357 [XNIO-1 task-5]  b1reS2TcTQmzmTiA_WZi2g DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", authorization)
18:00:47.361 [XNIO-1 task-4]  PKDvJLHPRE2gu7819aBcQQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.362 [XNIO-1 task-4]  PKDvJLHPRE2gu7819aBcQQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:47.362 [XNIO-1 task-4]  PKDvJLHPRE2gu7819aBcQQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.362 [XNIO-1 task-4]  PKDvJLHPRE2gu7819aBcQQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic NWFjMTc3MjYtNmFmZS00ZGIwLWE0MzUtM2MxMzBmOTI2MjNmOkREWHl6UjVFVG5ha0N4d2VfdVlQVnc=", "Basic NWFjMTc3MjYtNmFmZS00ZGIwLWE0MzUtM2MxMzBmOTI2MjNmOkREWHl6UjVFVG5ha0N4d2VfdVlQVnc=", authorization)
18:00:47.362 [XNIO-1 task-3]  y1JZTmafRpaZQD1Lc_lsIQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:47.364 [XNIO-1 task-5]  b1reS2TcTQmzmTiA_WZi2g DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:47.375 [XNIO-1 task-5]  cDSyCyNDTaWzRJhSo0dTfQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.375 [XNIO-1 task-5]  cDSyCyNDTaWzRJhSo0dTfQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.375 [XNIO-1 task-5]  cDSyCyNDTaWzRJhSo0dTfQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:47.376 [XNIO-1 task-5]  cDSyCyNDTaWzRJhSo0dTfQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.376 [XNIO-1 task-5]  cDSyCyNDTaWzRJhSo0dTfQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", authorization)
18:00:47.383 [XNIO-1 task-5]  cDSyCyNDTaWzRJhSo0dTfQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:47.392 [XNIO-1 task-5]  b87s42wxQ_OFxwchsV1GGA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.393 [XNIO-1 task-5]  b87s42wxQ_OFxwchsV1GGA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:47.393 [XNIO-1 task-5]  b87s42wxQ_OFxwchsV1GGA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.393 [XNIO-1 task-5]  b87s42wxQ_OFxwchsV1GGA DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", authorization)
18:00:47.399 [XNIO-1 task-5]  b87s42wxQ_OFxwchsV1GGA DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:47.404 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:563c8c31
18:00:47.404 [XNIO-1 task-5]  BOVScDQtQbqbmSq3DP2ltQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.404 [XNIO-1 task-4]  2AJ5KbmKRqG9jXxYQbAnBA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.404 [XNIO-1 task-5]  BOVScDQtQbqbmSq3DP2ltQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:47.405 [XNIO-1 task-5]  BOVScDQtQbqbmSq3DP2ltQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.405 [XNIO-1 task-5]  BOVScDQtQbqbmSq3DP2ltQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.405 [XNIO-1 task-4]  2AJ5KbmKRqG9jXxYQbAnBA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.406 [XNIO-1 task-4]  2AJ5KbmKRqG9jXxYQbAnBA DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic NWFjMTc3MjYtNmFmZS00ZGIwLWE0MzUtM2MxMzBmOTI2MjNmOkREWHl6UjVFVG5ha0N4d2VfdVlQVnc=", "Basic NWFjMTc3MjYtNmFmZS00ZGIwLWE0MzUtM2MxMzBmOTI2MjNmOkREWHl6UjVFVG5ha0N4d2VfdVlQVnc=", authorization)
18:00:47.406 [XNIO-1 task-5]  BOVScDQtQbqbmSq3DP2ltQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", "Basic MDZjZTZiYzktOWQ1My00ODZhLWE1MGUtOTYwYTRkMTY4ZjBkOkZYUUgxS2tmU3lHR3R5aTR6bUZ3bHc=", authorization)
18:00:47.413 [XNIO-1 task-5]  BOVScDQtQbqbmSq3DP2ltQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:47.422 [XNIO-1 task-4]  2AJ5KbmKRqG9jXxYQbAnBA DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:47.423 [XNIO-1 task-5]  dO3tN1GjSoy39o9y0NTZTg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.424 [XNIO-1 task-5]  dO3tN1GjSoy39o9y0NTZTg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:47.424 [hz._hzInstance_1_dev.partition-operation.thread-14]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:66ba1a61-00f2-40c5-b778-9d40517156c7
18:00:47.425 [XNIO-1 task-5]  dO3tN1GjSoy39o9y0NTZTg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/token
18:00:47.425 [XNIO-1 task-5]  dO3tN1GjSoy39o9y0NTZTg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleClientCredentials - scope = null
18:00:47.426 [hz._hzInstance_1_dev.partition-operation.thread-14]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:66ba1a61-00f2-40c5-b778-9d40517156c7
18:00:47.436 [XNIO-1 task-5]  dO3tN1GjSoy39o9y0NTZTg DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:47.451 [XNIO-1 task-4]  IeYOODHHTP-T3IySIc9aSQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.452 [XNIO-1 task-4]  IeYOODHHTP-T3IySIc9aSQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:47.452 [XNIO-1 task-4]  IeYOODHHTP-T3IySIc9aSQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.452 [XNIO-1 task-4]  IeYOODHHTP-T3IySIc9aSQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic ZDI5ZDVhZjItYzFmMi00MzAwLWIxZTMtNzdjNGNkYzg4NmM1OjNrUVQ4WUZKUjRHUDcwRktkSjdhOEE=", "Basic ZDI5ZDVhZjItYzFmMi00MzAwLWIxZTMtNzdjNGNkYzg4NmM1OjNrUVQ4WUZKUjRHUDcwRktkSjdhOEE=", authorization)
18:00:47.470 [XNIO-1 task-4]  IeYOODHHTP-T3IySIc9aSQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:47.481 [XNIO-1 task-4]  5rxdTmOLTr6JQ6yk8f7XRg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.481 [XNIO-1 task-4]  5rxdTmOLTr6JQ6yk8f7XRg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:47.482 [XNIO-1 task-4]  5rxdTmOLTr6JQ6yk8f7XRg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.482 [XNIO-1 task-4]  5rxdTmOLTr6JQ6yk8f7XRg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWI1ZmEwZTAtYTc2Ni00NDY2LWE4YzQtMGMwYWI4Y2U4OGZjOk5GM182cFcxUVRhSUd0Q1ZrTm5vMnc=", "Basic YWI1ZmEwZTAtYTc2Ni00NDY2LWE4YzQtMGMwYWI4Y2U4OGZjOk5GM182cFcxUVRhSUd0Q1ZrTm5vMnc=", authorization)
18:00:47.484 [XNIO-1 task-5]  NFhSuSaRQiyJY8sh15-k0w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.484 [XNIO-1 task-5]  NFhSuSaRQiyJY8sh15-k0w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:47.484 [XNIO-1 task-5]  NFhSuSaRQiyJY8sh15-k0w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.485 [XNIO-1 task-5]  NFhSuSaRQiyJY8sh15-k0w DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic NGRlNTUyZmItYTRhNS00NWFkLTljMTEtZmM0MjFmMjg4YTk3Okt5SHZQVWx0VG11aVRzMGtSVDEtNEE=", "Basic NGRlNTUyZmItYTRhNS00NWFkLTljMTEtZmM0MjFmMjg4YTk3Okt5SHZQVWx0VG11aVRzMGtSVDEtNEE=", authorization)
18:00:47.490 [XNIO-1 task-5]  NFhSuSaRQiyJY8sh15-k0w DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
18:00:47.494 [XNIO-1 task-5]  jc1LhEgcQheSMHIWRorpvg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.494 [XNIO-1 task-5]  jc1LhEgcQheSMHIWRorpvg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:47.495 [XNIO-1 task-5]  jc1LhEgcQheSMHIWRorpvg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.495 [XNIO-1 task-5]  jc1LhEgcQheSMHIWRorpvg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YThhNTMxZGItMGVmNS00ZWE0LWFkZGQtM2NjODI2MDRmNjFiOlZvZ1RvWmhaUU1xb3YxblNQeFFZVkE=", "Basic YThhNTMxZGItMGVmNS00ZWE0LWFkZGQtM2NjODI2MDRmNjFiOlZvZ1RvWmhaUU1xb3YxblNQeFFZVkE=", authorization)
18:00:47.497 [XNIO-1 task-4]  5rxdTmOLTr6JQ6yk8f7XRg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
com.networknt.exception.ApiException: {"statusCode":400,"code":"ERR12040","message":"CODE_VERIFIER_MISSING","description":"PKCE codeVerifier is not specified","severity":"ERROR"}
	at com.networknt.oauth.token.handler.Oauth2TokenPostHandler.handleRequest(Oauth2TokenPostHandler.java:116)
	at com.networknt.handler.Handler.next(Handler.java:233)
	at com.networknt.handler.Handler.next(Handler.java:212)
	at com.networknt.audit.AuditHandler.next(AuditHandler.java:192)
	at com.networknt.handler.Handler.next(Handler.java:212)
	at com.networknt.body.BodyHandler.handleRequest(BodyHandler.java:124)
	at com.networknt.handler.Handler.next(Handler.java:233)
	at com.networknt.handler.Handler.next(Handler.java:212)
	at com.networknt.correlation.CorrelationHandler.handleRequest(CorrelationHandler.java:77)
	at com.networknt.handler.Handler.next(Handler.java:233)
	at com.networknt.handler.Handler.next(Handler.java:212)
	at com.networknt.exception.ExceptionHandler.handleRequest(ExceptionHandler.java:76)
	at io.undertow.server.HttpServerExchange$1.run(HttpServerExchange.java:841)
	at org.jboss.threads.EnhancedQueueExecutor.safeRun(EnhancedQueueExecutor.java:2019)
	at org.jboss.threads.EnhancedQueueExecutor$ThreadBody.run(EnhancedQueueExecutor.java:1449)
18:00:47.498 [XNIO-1 task-4]  rpV6Lx4NQHy1BmTc6GfNMQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.499 [XNIO-1 task-4]  rpV6Lx4NQHy1BmTc6GfNMQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
18:00:47.499 [XNIO-1 task-4]  rpV6Lx4NQHy1BmTc6GfNMQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/token, base path is set to: null
18:00:47.499 [XNIO-1 task-4]  rpV6Lx4NQHy1BmTc6GfNMQ DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic NGRlNTUyZmItYTRhNS00NWFkLTljMTEtZmM0MjFmMjg4YTk3Okt5SHZQVWx0VG11aVRzMGtSVDEtNEE=", "Basic NGRlNTUyZmItYTRhNS00NWFkLTljMTEtZmM0MjFmMjg4YTk3Okt5SHZQVWx0VG11aVRzMGtSVDEtNEE=", authorization)
18:00:47.511 [XNIO-1 task-4]  rpV6Lx4NQHy1BmTc6GfNMQ DEBUG com.networknt.security.JwtIssuer getPrivateKey - filename = primary.jks key = selfsigned
SEVERE: [172.24.0.4]:5701 [dev] [3.12] java.sql.SQLIntegrityConstraintViolationException: Cannot delete or update a parent row: a foreign key constraint fails (`oauth2`.`refresh_token`, CONSTRAINT `refresh_token_ibfk_1` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`))
18:00:47.510 [XNIO-1 task-5]  jc1LhEgcQheSMHIWRorpvg DEBUG c.n.o.t.h.Oauth2TokenPostHandler handleAuthorizationCode - variable from codeMap cache userId = admin redirectUri = http://localhost:8080/authorization scope = null userType = null roles = admin user remember = null
java.lang.RuntimeException: java.sql.SQLIntegrityConstraintViolationException: Cannot delete or update a parent row: a foreign key constraint fails (`oauth2`.`refresh_token`, CONSTRAINT `refresh_token_ibfk_1` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`))
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:19)
	at com.hazelcast.map.impl.MapStoreWrapper.delete(MapStoreWrapper.java:115)
	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:56)
18:00:47.521 [XNIO-1 task-4]  LjtjsB8eQmKDzIm5dPgY_A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/token
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.removeRecord(DefaultRecordStore.java:1034)
