19:00:41.635 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:0a7d5b86
19:00:47.289 [XNIO-1 task-2]  K8E2VZyASMuCJr-4eGjHEA DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:47.290 [XNIO-1 task-2]  K8E2VZyASMuCJr-4eGjHEA DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:47.299 [XNIO-1 task-2]  K8E2VZyASMuCJr-4eGjHEA DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:47.300 [XNIO-1 task-2]  K8E2VZyASMuCJr-4eGjHEA DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:47.301 [XNIO-1 task-2]  K8E2VZyASMuCJr-4eGjHEA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=nNULdeeMQumD79ieVGaIOA
19:00:47.312 [XNIO-1 task-2]  IwvxwJ1vSXOXmIndiTa-hA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.312 [XNIO-1 task-2]  IwvxwJ1vSXOXmIndiTa-hA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.313 [XNIO-1 task-2]  IwvxwJ1vSXOXmIndiTa-hA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.314 [XNIO-1 task-2]  IwvxwJ1vSXOXmIndiTa-hA DEBUG com.networknt.schema.TypeValidator debug - validate( "e8d62715-eb9e-4544-8414-ed0e1f3f7001", "e8d62715-eb9e-4544-8414-ed0e1f3f7001", client_id)
19:00:47.314 [XNIO-1 task-2]  IwvxwJ1vSXOXmIndiTa-hA DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:47.314 [XNIO-1 task-2]  IwvxwJ1vSXOXmIndiTa-hA DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:47.314 [XNIO-1 task-2]  IwvxwJ1vSXOXmIndiTa-hA DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:47.317 [XNIO-1 task-1]  WbkjQYj5Rw2YoC1tAyXlKQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.317 [XNIO-1 task-1]  WbkjQYj5Rw2YoC1tAyXlKQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.317 [XNIO-1 task-1]  WbkjQYj5Rw2YoC1tAyXlKQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.317 [XNIO-1 task-1]  WbkjQYj5Rw2YoC1tAyXlKQ DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:47.317 [XNIO-1 task-1]  WbkjQYj5Rw2YoC1tAyXlKQ DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:47.318 [XNIO-1 task-1]  WbkjQYj5Rw2YoC1tAyXlKQ DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:47.318 [XNIO-1 task-1]  WbkjQYj5Rw2YoC1tAyXlKQ DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:47.318 [XNIO-1 task-1]  WbkjQYj5Rw2YoC1tAyXlKQ DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:47.315 [XNIO-1 task-2]  IwvxwJ1vSXOXmIndiTa-hA DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:47.319 [XNIO-1 task-2]  IwvxwJ1vSXOXmIndiTa-hA DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:47.319 [XNIO-1 task-2]  IwvxwJ1vSXOXmIndiTa-hA DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:47.324 [XNIO-1 task-1]  WbkjQYj5Rw2YoC1tAyXlKQ DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:47.324 [XNIO-1 task-1]  WbkjQYj5Rw2YoC1tAyXlKQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:47.327 [XNIO-1 task-2]  IwvxwJ1vSXOXmIndiTa-hA DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:47.327 [XNIO-1 task-2]  IwvxwJ1vSXOXmIndiTa-hA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:47.334 [hz._hzInstance_1_dev.partition-operation.thread-5]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:9600a29d
19:00:47.335 [XNIO-1 task-1]  WbkjQYj5Rw2YoC1tAyXlKQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=vYlwHlgvRLSqaa0tPXN-wA
19:00:47.336 [XNIO-1 task-1]  spxkiSxFQAiK-1tOSDgoMA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.336 [XNIO-1 task-1]  spxkiSxFQAiK-1tOSDgoMA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.337 [XNIO-1 task-1]  spxkiSxFQAiK-1tOSDgoMA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.337 [XNIO-1 task-1]  spxkiSxFQAiK-1tOSDgoMA DEBUG com.networknt.schema.TypeValidator debug - validate( "e8d62715-eb9e-4544-8414-ed0e1f3f7001", "e8d62715-eb9e-4544-8414-ed0e1f3f7001", client_id)
19:00:47.337 [XNIO-1 task-1]  spxkiSxFQAiK-1tOSDgoMA DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:47.337 [XNIO-1 task-1]  spxkiSxFQAiK-1tOSDgoMA DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:47.337 [XNIO-1 task-1]  spxkiSxFQAiK-1tOSDgoMA DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:47.338 [XNIO-1 task-1]  spxkiSxFQAiK-1tOSDgoMA DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:47.338 [XNIO-1 task-1]  spxkiSxFQAiK-1tOSDgoMA DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:47.341 [XNIO-1 task-2]  w0jqfMPMTCWJx0NbzMpZJw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:47.341 [XNIO-1 task-2]  w0jqfMPMTCWJx0NbzMpZJw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:47.341 [XNIO-1 task-2]  w0jqfMPMTCWJx0NbzMpZJw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:47.342 [XNIO-1 task-2]  w0jqfMPMTCWJx0NbzMpZJw DEBUG com.networknt.schema.TypeValidator debug - validate( "1a07aef6-b7a6-4841-a5a5-6e1ff185f6de", "1a07aef6-b7a6-4841-a5a5-6e1ff185f6de", client_id)
19:00:47.342 [XNIO-1 task-2]  w0jqfMPMTCWJx0NbzMpZJw DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:47.342 [XNIO-1 task-2]  w0jqfMPMTCWJx0NbzMpZJw DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:47.343 [XNIO-1 task-2]  w0jqfMPMTCWJx0NbzMpZJw DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:47.343 [XNIO-1 task-2]  w0jqfMPMTCWJx0NbzMpZJw DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:47.343 [XNIO-1 task-2]  w0jqfMPMTCWJx0NbzMpZJw DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:47.351 [XNIO-1 task-1]  spxkiSxFQAiK-1tOSDgoMA DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:47.351 [XNIO-1 task-1]  spxkiSxFQAiK-1tOSDgoMA DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:47.357 [XNIO-1 task-2]  w0jqfMPMTCWJx0NbzMpZJw DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:47.357 [XNIO-1 task-2]  w0jqfMPMTCWJx0NbzMpZJw DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:47.356 [XNIO-1 task-1]  spxkiSxFQAiK-1tOSDgoMA DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=vNAZllKGRl6rB-VrPSA_xA
19:00:47.375 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:01857082-0508-46ee-a733-20986b81a349
19:00:47.377 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:c5fc4eb6
19:00:47.402 [XNIO-1 task-2]  T8c2VFoqQzW6qLJubNAwEg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:47.402 [XNIO-1 task-2]  T8c2VFoqQzW6qLJubNAwEg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:47.402 [XNIO-1 task-2]  T8c2VFoqQzW6qLJubNAwEg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:47.402 [XNIO-1 task-2]  T8c2VFoqQzW6qLJubNAwEg DEBUG com.networknt.schema.TypeValidator debug - validate( "ca38f119-c232-4668-9585-1386e3d67ab3", "ca38f119-c232-4668-9585-1386e3d67ab3", client_id)
19:00:47.403 [XNIO-1 task-2]  T8c2VFoqQzW6qLJubNAwEg DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:47.403 [XNIO-1 task-2]  T8c2VFoqQzW6qLJubNAwEg DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:47.403 [XNIO-1 task-2]  T8c2VFoqQzW6qLJubNAwEg DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:47.403 [XNIO-1 task-2]  T8c2VFoqQzW6qLJubNAwEg DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:47.409 [XNIO-1 task-2]  T8c2VFoqQzW6qLJubNAwEg DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:47.419 [XNIO-1 task-2]  T8c2VFoqQzW6qLJubNAwEg DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:47.420 [XNIO-1 task-2]  T8c2VFoqQzW6qLJubNAwEg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:47.421 [XNIO-1 task-1]  of5oQtR4S8yjB4H4EQIUcQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.421 [XNIO-1 task-1]  of5oQtR4S8yjB4H4EQIUcQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.421 [XNIO-1 task-1]  of5oQtR4S8yjB4H4EQIUcQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.422 [XNIO-1 task-1]  of5oQtR4S8yjB4H4EQIUcQ DEBUG com.networknt.schema.TypeValidator debug - validate( "aaa7028b-b8dc-42ab-a47d-f8256e873745", "aaa7028b-b8dc-42ab-a47d-f8256e873745", client_id)
19:00:47.422 [XNIO-1 task-1]  of5oQtR4S8yjB4H4EQIUcQ DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:47.422 [XNIO-1 task-1]  of5oQtR4S8yjB4H4EQIUcQ DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:47.422 [XNIO-1 task-1]  of5oQtR4S8yjB4H4EQIUcQ DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:47.422 [XNIO-1 task-1]  of5oQtR4S8yjB4H4EQIUcQ DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:47.423 [XNIO-1 task-1]  of5oQtR4S8yjB4H4EQIUcQ DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:47.423 [XNIO-1 task-2]  T8c2VFoqQzW6qLJubNAwEg DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=8SKxKkFzR7WphliSijknYA
19:00:47.429 [XNIO-1 task-1]  of5oQtR4S8yjB4H4EQIUcQ DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:47.429 [XNIO-1 task-1]  of5oQtR4S8yjB4H4EQIUcQ DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:47.459 [XNIO-1 task-1]  EaJgCVH_TACyUu2fJNoKew DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:47.460 [XNIO-1 task-1]  EaJgCVH_TACyUu2fJNoKew DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:47.460 [XNIO-1 task-1]  EaJgCVH_TACyUu2fJNoKew DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:47.460 [XNIO-1 task-1]  EaJgCVH_TACyUu2fJNoKew DEBUG com.networknt.schema.TypeValidator debug - validate( "t8YxAohLC4KLXjVt2_im7YSHozQTdH1HClNtKTfZE9c", "t8YxAohLC4KLXjVt2_im7YSHozQTdH1HClNtKTfZE9c", code_challenge)
19:00:47.460 [XNIO-1 task-1]  EaJgCVH_TACyUu2fJNoKew DEBUG com.networknt.schema.TypeValidator debug - validate( "S256", "S256", code_challenge_method)
19:00:47.461 [XNIO-1 task-1]  EaJgCVH_TACyUu2fJNoKew DEBUG com.networknt.schema.EnumValidator debug - validate( "code", "code", response_type)
19:00:47.461 [XNIO-1 task-1]  EaJgCVH_TACyUu2fJNoKew DEBUG com.networknt.schema.TypeValidator debug - validate( "Basic YWRtaW46MTIzNDU2", "Basic YWRtaW46MTIzNDU2", Authorization)
19:00:47.461 [XNIO-1 task-1]  EaJgCVH_TACyUu2fJNoKew DEBUG io.undertow.request.security authenticate - Attempting to authenticate /oauth2/code, authentication required: true
19:00:47.461 [XNIO-1 task-1]  EaJgCVH_TACyUu2fJNoKew DEBUG c.n.o.s.LightBasicAuthenticationMechanism authenticate - Found basic auth header %s (decoded using charset %s) in %s
19:00:47.461 [XNIO-1 task-1]  EaJgCVH_TACyUu2fJNoKew DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:47.475 [XNIO-1 task-1]  EaJgCVH_TACyUu2fJNoKew DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
19:00:47.475 [XNIO-1 task-1]  EaJgCVH_TACyUu2fJNoKew DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - params
19:00:47.484 [XNIO-1 task-1]  Znds8rhIRwiXGjrem6zlXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:47.484 [XNIO-1 task-1]  Znds8rhIRwiXGjrem6zlXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:47.484 [XNIO-1 task-1]  Znds8rhIRwiXGjrem6zlXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
19:00:47.484 [XNIO-1 task-1]  Znds8rhIRwiXGjrem6zlXQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
java.lang.RuntimeException: java.sql.SQLIntegrityConstraintViolationException: Cannot delete or update a parent row: a foreign key constraint fails (`oauth2`.`refresh_token`, CONSTRAINT `refresh_token_ibfk_1` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`))
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:36)
	at com.networknt.oauth.cache.ClientMapStore.delete(ClientMapStore.java:19)
	at com.hazelcast.map.impl.MapStoreWrapper.delete(MapStoreWrapper.java:115)
	at com.hazelcast.map.impl.mapstore.writethrough.WriteThroughStore.remove(WriteThroughStore.java:28)
19:00:47.485 [XNIO-1 task-1]  Znds8rhIRwiXGjrem6zlXQ DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
	at com.hazelcast.map.impl.recordstore.DefaultRecordStore.delete(DefaultRecordStore.java:455)
	at com.hazelcast.map.impl.operation.DeleteOperation.run(DeleteOperation.java:44)
19:00:47.485 [XNIO-1 task-1]  Znds8rhIRwiXGjrem6zlXQ DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:47.485 [XNIO-1 task-1]  Znds8rhIRwiXGjrem6zlXQ DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:47.486 [XNIO-1 task-1]  Znds8rhIRwiXGjrem6zlXQ DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:47.486 [XNIO-1 task-1]  Znds8rhIRwiXGjrem6zlXQ DEBUG c.n.o.security.LightIdentityManager verify - Get Authenticator implementation from service factory with clazz = interface com.networknt.oauth.auth.DefaultAuth
19:00:47.492 [XNIO-1 task-1]  Znds8rhIRwiXGjrem6zlXQ DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:47.492 [XNIO-1 task-1]  Znds8rhIRwiXGjrem6zlXQ DEBUG io.undertow.request.security transition - Authentication outcome was AUTHENTICATED with method com.networknt.oauth.security.LightBasicAuthenticationMechanism@7899d204 for /oauth2/code
	at com.hazelcast.spi.impl.operationservice.impl.OperationRunnerImpl.run(OperationRunnerImpl.java:416)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:153)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.process(OperationThread.java:123)
	at com.hazelcast.spi.impl.operationexecutor.impl.OperationThread.run(OperationThread.java:110)
Caused by: java.sql.SQLIntegrityConstraintViolationException: Cannot delete or update a parent row: a foreign key constraint fails (`oauth2`.`refresh_token`, CONSTRAINT `refresh_token_ibfk_1` FOREIGN KEY (`client_id`) REFERENCES `client` (`client_id`))
19:00:47.507 [XNIO-1 task-1]  uaDcOdajQ2KYmtVEvAmCjw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
	at com.mysql.cj.jdbc.exceptions.SQLError.createSQLException(SQLError.java:97)
	at com.mysql.cj.jdbc.exceptions.SQLExceptionsMapping.translateException(SQLExceptionsMapping.java:122)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeInternal(ClientPreparedStatement.java:955)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdateInternal(ClientPreparedStatement.java:1042)
	at com.mysql.cj.jdbc.ClientPreparedStatement.executeUpdate(ClientPreparedStatement.java:1027)
	at com.zaxxer.hikari.pool.HikariProxyPreparedStatement.executeUpdate(HikariProxyPreparedStatement.java)
	... 14 more

19:00:47.507 [XNIO-1 task-1]  uaDcOdajQ2KYmtVEvAmCjw DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:47.507 [XNIO-1 task-1]  uaDcOdajQ2KYmtVEvAmCjw DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:47.508 [XNIO-1 task-1]  uaDcOdajQ2KYmtVEvAmCjw DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:47.508 [XNIO-1 task-1]  uaDcOdajQ2KYmtVEvAmCjw DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:47.508 [XNIO-1 task-1]  uaDcOdajQ2KYmtVEvAmCjw DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:47.514 [XNIO-1 task-1]  uaDcOdajQ2KYmtVEvAmCjw DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:47.514 [XNIO-1 task-1]  uaDcOdajQ2KYmtVEvAmCjw DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:47.521 [XNIO-1 task-1]  uaDcOdajQ2KYmtVEvAmCjw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=oNV5VKzfTL29clU9tTxtMg
19:00:47.532 [XNIO-1 task-1]  wL8j_VzaTWOLc0i3UPUxPw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.533 [XNIO-1 task-1]  wL8j_VzaTWOLc0i3UPUxPw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.533 [XNIO-1 task-1]  wL8j_VzaTWOLc0i3UPUxPw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.533 [XNIO-1 task-1]  wL8j_VzaTWOLc0i3UPUxPw DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:47.533 [XNIO-1 task-1]  wL8j_VzaTWOLc0i3UPUxPw DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:47.534 [XNIO-1 task-1]  wL8j_VzaTWOLc0i3UPUxPw DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:47.534 [XNIO-1 task-1]  wL8j_VzaTWOLc0i3UPUxPw DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:47.534 [XNIO-1 task-1]  wL8j_VzaTWOLc0i3UPUxPw DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:47.547 [hz._hzInstance_1_dev.partition-operation.thread-9]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:0a7d5b86
19:00:47.547 [XNIO-1 task-1]  wL8j_VzaTWOLc0i3UPUxPw DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:47.548 [XNIO-1 task-1]  wL8j_VzaTWOLc0i3UPUxPw DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:47.550 [XNIO-1 task-1]  wL8j_VzaTWOLc0i3UPUxPw DEBUG c.n.o.c.handler.Oauth2CodeGetHandler handleRequest - redirectUri = http://localhost:8080/authorization?code=9zVOrMNDQxe7jaisNJ5mPg
19:00:47.555 [XNIO-1 task-1]  2jOjd16ERv-3vz5BqB0qsg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.556 [XNIO-1 task-1]  2jOjd16ERv-3vz5BqB0qsg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.556 [hz._hzInstance_1_dev.partition-operation.thread-0]   DEBUG c.n.oauth.cache.RefreshTokenMapStore load - Load:e3ab80a6-cffd-41bb-8beb-a454bd56c7ca
19:00:47.556 [XNIO-1 task-1]  2jOjd16ERv-3vz5BqB0qsg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.556 [XNIO-1 task-1]  2jOjd16ERv-3vz5BqB0qsg DEBUG com.networknt.schema.TypeValidator debug - validate( "code", "code", response_type)
19:00:47.556 [XNIO-1 task-1]  2jOjd16ERv-3vz5BqB0qsg DEBUG com.networknt.schema.TypeValidator debug - validate( "http://localhost:8080/authorization", "http://localhost:8080/authorization", redirect_uri)
19:00:47.556 [XNIO-1 task-1]  2jOjd16ERv-3vz5BqB0qsg DEBUG io.undertow.request.security handleRequest - Setting authentication required for exchange HttpServerExchange{ GET /oauth2/code}
19:00:47.557 [XNIO-1 task-1]  2jOjd16ERv-3vz5BqB0qsg DEBUG io.undertow.request.security transition - Authentication outcome was NOT_ATTEMPTED with method com.networknt.oauth.security.LightGSSAPIAuthenticationMechanism@23ea9e5 for /oauth2/code
19:00:47.558 [XNIO-1 task-1]  2jOjd16ERv-3vz5BqB0qsg DEBUG c.n.o.security.LightIdentityManager verify - LightPasswordCredential with clientAuthClass = null
19:00:47.571 [XNIO-1 task-1]  2jOjd16ERv-3vz5BqB0qsg DEBUG io.undertow.request.security authenticationComplete - Authenticated as admin, roles [admin, user]
19:00:47.571 [XNIO-1 task-2]  5hvayfcUQDKo4yiJQJaCNQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/code
19:00:47.571 [XNIO-1 task-1]  2jOjd16ERv-3vz5BqB0qsg DEBUG io.undertow.request.security authTransition - Authentication result was AUTHENTICATED for /oauth2/code
19:00:47.571 [XNIO-1 task-2]  5hvayfcUQDKo4yiJQJaCNQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/code
19:00:47.571 [XNIO-1 task-2]  5hvayfcUQDKo4yiJQJaCNQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/code, base path is set to: null
